org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,55,0,7,50,2,0,30,3,63599,0,15622,145703,2917,0,18765218,2735,1289,8531,622,4
ShanghaiAILab,66,0,53,200,0,4,0,0,256755,0,125948,3168144,0,2106,0,0,796,6947,695,1
Baidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Baichuan,15,0,0,4,0,0,0,0,75267,0,0,1266,0,0,0,0,57,3560,270,1
Zhipu,54,3,4,23,0,0,0,0,4707997,284090,269196,335827,0,0,0,0,347,16341,1190,1
Ali,331,159,108,79,2,0,29,0,33467227,19578258,2978407,11980675,133,0,3978050,0,95585,66506,4773,1
Huawei,5,0,0,0,0,0,0,0,745,0,0,0,0,0,0,0,3,5,10,2
LMSYS,26,0,0,0,0,0,0,0,390923,0,0,0,0,0,0,0,712,3529,171,1
Falcon,66,0,0,1,0,0,0,0,1000176,0,0,510,0,0,0,0,1204,8809,705,1
EleutherAI,46,0,0,0,0,2,0,0,2482316,0,0,0,0,92107,0,0,2940,4308,257,1
Meta,135,168,180,26,5,8,9,0,32968116,8366287,8359466,3813053,129170,13856376,325525,0,25933,60986,4260,2
Google,129,5,54,73,0,0,2,0,4294823,3657,10071478,13845357,0,0,2269,0,44649,27802,2004,2
Deepseek,50,0,0,11,0,0,0,0,10234422,0,0,359515,0,0,0,0,4528,45566,1559,1
OpenBMB,29,0,0,17,0,0,2,0,418809,0,0,463400,0,0,1668,0,128,7529,481,1
01-AI,26,0,0,2,0,0,0,0,211318,0,0,647,0,0,0,0,1079,4704,281,1
Ai2,97,0,0,8,0,0,8,0,865516,0,0,359486,0,0,231246,0,893,4740,402,1
OpenAI,0,0,6,16,2,0,0,0,0,0,1750,98044529,6082,0,0,0,7881,13819,842,1
Nvidia,90,90,70,19,3,0,3,1,1069573,4224055,1677074,398116,1513,0,48255,7655,1621,14780,924,1
Microsoft,71,19,63,66,1,0,0,0,8400779,2100226,8050207,6699498,947,0,0,0,9917,34453,2131,1
Apple,11,0,38,12,0,0,0,0,1663589,0,1114244,792898,0,0,0,0,186,3020,245,1
HuggingFace,44,0,1,13,0,0,0,0,2117697,0,3988,523703,0,0,0,0,3501,8050,388,1
Princeton NLP,60,0,0,0,0,0,0,0,141831,0,0,0,0,0,0,0,760,530,139,1
UKP Lab,0,0,0,1,0,0,107,0,0,0,0,163636,0,0,150265704,0,1709,8334,554,1
Tencent,13,0,30,19,8,0,9,1,1862,0,60444,103010,467300,0,1376,96,185,6889,247,1
ByteDance,16,0,8,24,0,0,1,0,90828,0,1655,581184,0,0,150,0,167,8121,343,2
