org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips,score,rank,delta rank
BAAI,0.14540816326530612,0.0,0.03684210526315789,0.25380710659898476,0.2222222222222222,0.0,0.3106796116504854,1.0,0.0015576210070448611,0.0,0.0002941936734627936,0.0012119616440442519,0.0011901908207578198,0.0,0.14553002884393088,1.0,0.0137571641273532,0.12680921771830864,0.1287148199173391,1.0,0.21940122033761988,4,1
ShanghaiAILab,0.17091836734693877,0.0,0.28421052631578947,1.0,0.0,0.5,0.0,0.0,0.006653412501194052,0.0,0.015265194351998449,0.0868919434615345,0.0,0.00014428420230262507,0.0,0.0,0.008280813396153297,0.10278834521258763,0.13658728596732927,0.25,0.1280870086377914,8,0
Baidu,0.04336734693877551,0.0,0.22105263157894736,0.04568527918781726,0.0,0.0,0.0,0.0,0.0007035153565532431,0.0,0.023674997576658374,0.0004854733287330368,0.0,0.0,0.0,0.0,0.001131983112035734,0.009940676607343274,0.008069277701239913,0.5,0.04270555906940518,15,6
Baichuan,0.03826530612244898,0.0,0.0,0.02030456852791878,0.0,0.0,0.0,0.0,0.002645383837002158,0.0,0.0,5.035658733527052e-05,0.0,0.0,0.0,0.0,0.000581288625099431,0.050709111315171924,0.05136784097618579,0.25,0.020696192799558116,24,1
Zhipu,0.1326530612244898,0.016666666666666666,0.021052631578947368,0.12690355329949238,0.0,0.0,0.0,0.0,0.03299902637230526,0.021568117182424167,0.008695111312158712,0.0037031597405095197,0.0,0.0,0.0,0.0,0.0038140692243366172,0.2401649977407553,0.2347962999409565,0.25,0.05465083471415211,13,-1
Ali,1.0,0.6388888888888888,0.45789473684210524,0.38071065989847713,0.1111111111111111,0.0,0.27184466019417475,0.0,1.0,1.0,0.1287269378655207,0.30981518157162274,0.001162317499428597,0.0,0.05372254170902003,0.0,1.0,1.0,1.0,0.25,0.4301938517790175,2,0
Huawei,0.012755102040816327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.577904459090644e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0594138163127944e-05,7.287886075764863e-05,0.00196811651249754,0.5,0.025745623529841277,21,-1
LMSYS,0.06377551020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006559777547591331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007373187297313835,0.0515836576442637,0.034245227317457196,0.25,0.020676868000535385,25,-1
Falcon,0.16071428571428573,0.0,0.0,0.005076142131979695,0.0,0.0,0.0,0.0,0.0160407374521353,0.0,0.0,3.835460229054003e-05,0.0,0.0,0.0,0.0,0.012767953660078728,0.12890812890812892,0.13934264908482583,0.25,0.03564441257768623,19,-2
EleutherAI,0.13520408163265307,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.025013962475427604,0.0,0.0,0.0,0.0,0.003001482302809918,0.0,0.0,0.030471761610475434,0.06219481977057734,0.05018697106868727,0.25,0.03405365394303153,20,-6
Meta,0.32142857142857145,1.0,1.0,0.14720812182741116,0.5555555555555556,1.0,0.07766990291262135,0.0,0.5044231105804673,0.34901389166974794,0.8635064137775049,0.060214078392149595,1.0,1.0,0.026225283898433635,0.0,0.28177201248240835,0.9035083883568732,0.8608541625664239,0.5,0.5225689746724085,1,0
Google,0.3392857142857143,0.027777777777777776,0.2894736842105263,0.4263959390862944,0.0,0.0,0.019417475728155338,0.0,0.07540350239991474,0.00031922324667703464,1.0,0.1808980187748067,0.0,0.0,1.0056175027841636e-05,0.0,0.4635215892634971,0.42928564140685355,0.41802794725447745,0.5,0.2084908284804861,5,-2
Deepseek,0.13010204081632654,0.0,0.0,0.05583756345177665,0.0,0.0,0.0,0.0,0.15549958241167466,0.0,0.0,0.008558350814997482,0.0,0.0,0.0,0.0,0.048991413245222215,0.6831081376535922,0.3241487896083448,0.25,0.08281229390009673,11,0
