org,data,model,infra,eval,score,rank,delta rank
BAAI,0.3333333333333333,0.5,1.0,0.5,0.5555555555555556,2,0
ShanghaiAILab,1.0,0.3010299956639812,0.3010299956639812,1.0,0.5340199971093208,3,0
Baidu,0.24465054211822604,0.25,0.3562071871080222,0.23981246656813146,0.26511169929906325,14,0
Baichuan,0.21533827903669653,0.21533827903669653,0.24465054211822604,0.23981246656813146,0.22430268747219057,25,0
Zhipu,0.26264953503719357,0.26264953503719357,0.24465054211822604,0.43067655807339306,0.28765420672339886,12,1
Ali,0.3010299956639812,0.6309297535714575,0.3333333333333333,0.23981246656813146,0.46116084271330304,4,0
Huawei,0.22106472945750374,0.22424382421757544,0.31546487678572877,0.23981246656813146,0.2415122575773484,22,0
LMSYS,0.23981246656813146,0.21810429198553155,0.2559580248098155,0.38685280723454163,0.2561560290948472,17,1
Falcon,0.23137821315975915,0.23137821315975915,0.24465054211822604,0.3562071871080222,0.2543950969775475,19,0
EleutherAI,0.31546487678572877,0.227670248696953,0.25,0.24465054211822604,0.24885436083246895,21,-1
Meta,0.3562071871080222,1.0,0.6309297535714575,0.3010299956639812,0.7146944893905769,1,0
Google,0.6309297535714575,0.38685280723454163,0.5,0.31546487678572877,0.4344921753434685,5,0
Deepseek,0.21810429198553155,0.27894294565112987,0.27023815442731974,0.23981246656813146,0.26083062498906207,16,0
OpenBMB,0.27023815442731974,0.23540891336663824,0.2559580248098155,0.3333333333333333,0.26095937544506387,15,0
01-AI,0.21274605355336318,0.22106472945750374,0.2559580248098155,0.23981246656813146,0.22861845555063687,24,0
Ai2,0.5,0.2559580248098155,0.2559580248098155,0.2890648263178879,0.3021494875928583,9,-2
OpenAI,0.23540891336663824,0.2890648263178879,0.43067655807339306,0.2559580248098155,0.29820632920058504,10,0
Nvidia,0.43067655807339306,0.43067655807339306,0.2890648263178879,0.26264953503719357,0.3790700989414422,6,0
Microsoft,0.27894294565112987,0.3562071871080222,0.38685280723454163,0.27023815442731974,0.334109244772843,7,2
Apple,0.2559580248098155,0.24465054211822604,0.27894294565112987,0.23981246656813146,0.25144417723062584,20,1
HuggingFace,0.38685280723454163,0.23981246656813146,0.26264953503719357,0.6309297535714575,0.3333115825912645,8,0
Princeton NLP,0.25,0.21274605355336318,0.2559580248098155,0.25,0.2323660309116508,23,0
UKP Lab,0.2890648263178879,0.31546487678572877,0.2559580248098155,0.27894294565112987,0.2950600711893366,11,0
Tencent,0.22424382421757544,0.3333333333333333,0.2559580248098155,0.23981246656813146,0.2866690525992537,13,-1
ByteDance,0.227670248696953,0.27023815442731974,0.2559580248098155,0.23981246656813146,0.2556925338928098,18,-1
