org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
01-AI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58013.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,-2.0,-92.0,-6.0,0.0
Ai2,292.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,-98611.0,0.0,44042.0,25478.0,0.0,0.0,-21205.0,3109.0,151.0,424.0,112.0,0.0
Ali,-58.0,5.0,10.0,9.0,1.0,0.0,2.0,0.0,-3454244.0,30043414.0,1170905.0,2885483.0,260.0,0.0,792480.0,0.0,3093.0,13351.0,1012.0,0.0
Apple,0.0,0.0,-1.0,12.0,0.0,0.0,0.0,0.0,-927638.0,0.0,-61756.0,145751.0,0.0,0.0,0.0,0.0,-1.0,1376.0,45.0,0.0
BAAI,-10.0,0.0,-4.0,-13.0,-1.0,0.0,-1.0,-2.0,50830.0,0.0,-1444.0,65514.0,-122.0,0.0,-1779498.0,528.0,76.0,887.0,28.0,0.0
Baichuan,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122731.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,9.0,251.0,17.0,0.0
Baidu,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1421235.0,0.0,239710.0,355265.0,0.0,0.0,0.0,0.0,53.0,191.0,63.0,0.0
ByteDance,0.0,0.0,-8.0,-8.0,0.0,0.0,0.0,0.0,169064.0,0.0,-11443.0,97773.0,-47.0,0.0,0.0,0.0,74.0,900.0,56.0,0.0
Deepseek,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4067242.0,0.0,0.0,422154.0,0.0,0.0,0.0,0.0,292.0,2306.0,117.0,0.0
EleutherAI,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-78434.0,0.0,0.0,0.0,0.0,-29861.0,52.0,0.0,64.0,97.0,26.0,0.0
Falcon,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88609.0,0.0,0.0,331.0,0.0,0.0,0.0,0.0,18.0,46.0,-7.0,0.0
Google,2.0,1.0,-3.0,14.0,0.0,0.0,3.0,0.0,17650337.0,1821.0,2862293.0,1124597.0,0.0,0.0,35099.0,0.0,1119.0,2873.0,148.0,0.0
Huawei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HuggingFace,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1761792.0,0.0,405.0,-90308.0,0.0,0.0,0.0,0.0,112.0,-75.0,157.0,0.0
LMSYS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,22.0,14.0,0.0
MLFoundations,,,,,,,,,,,,,,,,,,,,
Meituan,,,,,,,,,,,,,,,,,,,,
Meta,1.0,-1.0,14.0,2.0,0.0,0.0,-2.0,0.0,7038629.0,-79195.0,-649815.0,-319677.0,59459.0,5881401.0,205940.0,0.0,1519.0,1818.0,153.0,0.0
Microsoft,15.0,1.0,2.0,10.0,0.0,8.0,0.0,0.0,-546303.0,199568.0,-2115634.0,-1098687.0,-7562.0,1370.0,0.0,0.0,265.0,2501.0,103.0,0.0
MistralAI,,,,,,,,,,,,,,,,,,,,
Moonshot,,,,,,,,,,,,,,,,,,,,
Nvidia,30.0,4.0,18.0,3.0,1.0,3.0,0.0,1.0,-266941.0,300464.0,-217773.0,162949.0,-76.0,563.0,100439.0,1715.0,154.0,2181.0,161.0,0.0
OpenAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11874230.0,0.0,1473.0,-7484769.0,-2568.0,0.0,0.0,0.0,577.0,2716.0,137.0,0.0
OpenBMB,5.0,-1.0,-1.0,16.0,0.0,0.0,0.0,0.0,22307.0,-74.0,-1280.0,177062.0,0.0,0.0,-141.0,0.0,52.0,1752.0,87.0,0.0
Princeton NLP,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-1.0,-10.0,0.0
Salesforce,,,,,,,,,,,,,,,,,,,,
ShanghaiAILab,0.0,0.0,-31.0,-36.0,0.0,0.0,0.0,0.0,92576.0,0.0,22249.0,966453.0,0.0,217.0,0.0,0.0,220.0,750.0,148.0,0.0
StanfordNLP,,,,,,,,,,,,,,,,,,,,
Tencent,9.0,0.0,-13.0,-8.0,-2.0,0.0,-7.0,-1.0,-156323.0,-1471.0,-6186.0,-10698.0,33591.0,0.0,-521.0,-73.0,73.0,2208.0,84.0,0.0
UKP Lab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16406.0,0.0,0.0,-971717.0,0.0,56.0,244.0,17.0,0.0
Xiaomi,,,,,,,,,,,,,,,,,,,,
Zhipu,16.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,255489.0,51626.0,-276420.0,731749.0,0.0,0.0,0.0,0.0,79.0,2624.0,160.0,0.0
